iter	Passed	Remaining
0	1	190
1	3	172
2	5	168
3	6	152
4	7	148
5	9	144
6	10	141
7	12	139
8	13	136
9	14	132
10	16	130
11	17	129
12	18	126
13	20	124
14	21	121
15	22	118
16	24	117
17	25	114
18	26	111
19	27	108
20	28	105
21	29	102
22	30	100
23	30	98
24	31	95
25	33	93
26	33	91
27	34	89
28	35	87
29	36	86
30	37	84
31	38	82
32	39	80
33	40	78
34	41	77
35	42	75
36	43	74
37	44	72
38	45	71
39	46	69
40	47	68
41	47	66
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	57
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	67	38
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	73	30
71	74	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	97	4
96	99	3
97	100	2
98	101	1
99	102	0
