iter	Passed	Remaining
0	1	1205
1	1	992
2	2	914
3	3	891
4	4	862
5	5	843
6	5	830
7	6	856
8	8	898
9	9	896
10	10	914
11	10	900
12	11	883
13	12	875
14	13	873
15	13	860
16	14	855
17	15	847
18	16	839
19	16	826
20	17	818
21	18	811
22	18	804
23	19	797
24	20	791
25	20	784
26	22	797
27	23	808
28	24	804
29	25	809
30	25	805
31	26	799
32	27	793
33	27	789
34	28	788
35	29	785
36	30	781
37	30	778
38	31	775
39	32	772
40	32	769
41	33	765
42	34	761
43	34	759
44	35	756
45	36	756
46	37	767
47	38	767
48	39	772
49	40	770
50	41	768
51	42	767
52	42	765
53	43	764
54	44	762
55	45	760
56	45	759
57	46	757
58	47	755
59	48	754
60	48	753
61	49	750
62	50	750
63	51	748
64	52	754
65	53	755
66	54	757
67	55	756
68	55	754
69	56	754
70	57	754
71	58	751
72	59	750
73	59	747
74	60	746
75	61	745
76	61	742
77	62	739
78	63	737
79	63	734
80	64	732
81	65	730
82	65	724
83	66	722
84	67	724
85	68	727
86	69	726
87	70	730
88	71	730
89	72	730
90	72	728
91	73	727
92	74	724
93	74	722
94	75	720
95	76	718
96	77	716
97	77	715
98	78	712
99	78	710
100	79	708
101	80	707
102	80	705
103	81	702
104	82	703
105	83	708
106	85	709
107	85	710
108	86	708
109	87	706
110	87	704
111	88	702
112	89	700
113	89	698
114	90	696
115	91	694
116	91	692
117	92	690
118	92	688
119	93	686
120	94	684
121	94	681
122	95	679
123	95	678
124	96	676
125	97	675
126	99	681
127	100	686
128	101	686
129	102	684
130	102	683
131	103	681
132	104	680
133	104	678
134	105	676
135	106	675
136	107	674
137	107	672
138	108	670
139	108	668
140	109	667
141	109	664
142	110	662
143	111	661
144	111	660
145	113	661
146	114	662
147	115	664
148	116	663
149	117	663
150	117	661
151	118	662
152	119	662
153	120	661
154	121	660
155	121	659
156	122	659
157	123	658
158	124	656
159	124	655
160	125	652
161	125	651
162	126	650
163	127	649
164	128	651
165	129	653
166	130	652
167	132	654
168	133	654
169	133	652
170	134	651
171	135	650
172	136	650
173	136	650
174	137	649
175	138	648
176	139	646
177	139	645
178	140	644
179	141	643
180	141	642
181	142	641
182	143	640
183	144	640
184	145	639
185	146	640
186	147	640
187	148	641
188	149	641
189	150	640
190	151	641
191	152	641
192	152	639
193	153	638
194	154	637
195	155	636
196	155	634
197	156	633
198	157	632
199	157	631
200	158	631
201	160	632
202	160	631
203	161	631
204	163	632
205	163	631
206	164	630
207	165	629
208	165	627
209	166	626
210	167	624
211	168	624
212	169	624
213	170	625
214	171	625
215	172	624
216	173	624
217	174	625
218	175	624
219	175	623
220	176	623
221	177	622
222	178	621
223	179	620
224	179	619
225	180	618
226	181	617
227	182	616
228	182	615
229	183	614
230	184	613
231	184	612
232	185	611
233	186	610
234	187	609
235	188	609
236	189	609
237	190	608
238	191	608
239	191	607
240	192	606
241	193	605
242	193	603
243	194	602
244	195	601
245	196	601
246	197	601
247	197	599
248	198	598
249	199	597
250	200	596
251	200	595
252	201	594
253	202	593
254	203	593
255	204	594
256	205	594
257	206	594
258	207	593
259	208	592
260	209	592
261	210	592
262	211	591
263	211	590
264	212	588
265	213	587
266	213	586
267	214	585
268	215	584
269	215	583
270	216	583
271	217	582
272	218	582
273	219	581
274	220	580
275	221	580
276	222	579
277	222	578
278	223	577
279	224	577
280	225	576
281	226	575
282	226	574
283	227	573
284	228	572
285	229	572
286	230	571
287	230	570
288	231	569
289	232	568
290	233	567
291	234	568
292	235	567
293	236	567
294	237	566
295	238	566
296	239	565
297	239	564
298	240	563
299	241	563
300	242	562
301	243	562
302	243	561
303	244	560
304	245	559
305	246	558
306	247	558
307	248	558
308	249	558
309	250	558
310	252	559
311	253	559
312	254	559
313	255	559
314	256	558
315	257	557
316	258	556
317	258	555
318	259	554
319	260	552
320	260	551
321	261	550
322	262	549
323	263	549
324	264	548
325	265	548
326	266	548
327	267	547
328	268	547
329	269	546
330	270	545
331	270	544
332	271	543
333	272	543
334	273	542
335	274	541
336	275	541
337	275	540
338	276	539
339	277	538
340	278	539
341	280	540
342	282	540
343	283	540
344	284	539
345	285	539
346	286	538
347	286	537
348	287	536
